"date","home.team","home.score","away.team","away.score"
"2020-03-08","Villarreal",1,"Leganes",2
"2020-03-08","Betis",2,"Real Madrid",1
"2020-03-10","Eibar",1,"Sociedad",2
"2020-06-11","Sevilla",2,"Betis",0
"2020-06-12","Granada",2,"Getafe",1
"2020-06-12","Valencia",1,"Levante",1
"2020-06-13","Espanol",2,"Alaves",0
"2020-06-13","Celta",0,"Villarreal",1
"2020-06-13","Leganes",1,"Valladolid",2
"2020-06-13","Mallorca",0,"Barcelona",4
"2020-06-14","Ath Bilbao",1,"Ath Madrid",1
"2020-06-14","Real Madrid",3,"Eibar",1
"2020-06-14","Sociedad",1,"Osasuna",1
"2020-06-15","Levante",1,"Sevilla",1
"2020-06-15","Betis",2,"Granada",2
"2020-06-16","Getafe",0,"Espanol",0
"2020-06-16","Villarreal",1,"Mallorca",0
"2020-06-16","Barcelona",2,"Leganes",0
"2020-06-17","Eibar",2,"Ath Bilbao",2
"2020-06-17","Valladolid",0,"Celta",0
"2020-06-17","Osasuna",0,"Ath Madrid",5
"2020-06-18","Alaves",2,"Sociedad",0
"2020-06-18","Real Madrid",3,"Valencia",0
"2020-06-19","Granada",0,"Villarreal",1
"2020-06-19","Mallorca",1,"Leganes",1
"2020-06-19","Sevilla",0,"Barcelona",0
"2020-06-20","Espanol",1,"Levante",3
"2020-06-20","Ath Bilbao",1,"Betis",0
"2020-06-20","Getafe",1,"Eibar",1
"2020-06-20","Ath Madrid",1,"Valladolid",0
"2020-06-21","Celta",6,"Alaves",0
"2020-06-21","Valencia",2,"Osasuna",0
"2020-06-21","Sociedad",1,"Real Madrid",2
"2020-06-22","Villarreal",2,"Sevilla",2
"2020-06-22","Leganes",0,"Granada",0
"2020-06-23","Levante",0,"Ath Madrid",1
"2020-06-23","Valladolid",1,"Getafe",1
"2020-06-23","Barcelona",1,"Ath Bilbao",0
"2020-06-24","Alaves",0,"Osasuna",1
"2020-06-24","Sociedad",0,"Celta",1
"2020-06-24","Real Madrid",2,"Mallorca",0
"2020-06-25","Eibar",1,"Valencia",0
"2020-06-25","Betis",1,"Espanol",0
"2020-06-26","Sevilla",1,"Valladolid",1
"2020-06-27","Ath Bilbao",3,"Mallorca",1
"2020-06-27","Celta",2,"Barcelona",2
"2020-06-27","Osasuna",2,"Leganes",1
"2020-06-27","Ath Madrid",2,"Alaves",1
"2020-06-28","Levante",4,"Betis",2
"2020-06-28","Villarreal",2,"Valencia",0
"2020-06-28","Granada",1,"Eibar",2
"2020-06-28","Espanol",0,"Real Madrid",1
"2020-06-29","Getafe",2,"Sociedad",1
"2020-06-30","Mallorca",5,"Celta",1
"2020-06-30","Leganes",0,"Sevilla",3
"2020-06-30","Barcelona",2,"Ath Madrid",2
"2020-07-01","Alaves",0,"Granada",2
"2020-07-01","Valencia",0,"Ath Bilbao",2
"2020-07-01","Betis",0,"Villarreal",2
"2020-07-01","Valladolid",0,"Levante",0
"2020-07-02","Eibar",0,"Osasuna",2
"2020-07-02","Sociedad",2,"Espanol",1
"2020-07-02","Real Madrid",1,"Getafe",0
"2020-07-03","Ath Madrid",3,"Mallorca",0
"2020-07-04","Celta",1,"Betis",1
"2020-07-04","Valladolid",1,"Alaves",0
"2020-07-04","Granada",2,"Valencia",2
"2020-07-05","Ath Bilbao",0,"Real Madrid",1
"2020-07-05","Espanol",0,"Leganes",1
"2020-07-05","Osasuna",0,"Getafe",0
"2020-07-05","Villarreal",1,"Barcelona",4
"2020-07-06","Levante",1,"Sociedad",1
